id,name,district,street,station,lines,d_m,area_m2,type,built_year,units_total,buildings,layout_main,large_unit,resettlement,confidence,note
1,新地中央花园,光明区,光明街道,光明大街,6,1.3,37930,混合,2016,1657-1679（其中住宅约578、公寓约1101）,5,住宅3房89㎡、2房82㎡、4房131-136㎡,部分,无,确认,备案名「新地中央广场」。总建面约26万㎡的综合体，业态含住宅+商务公寓+写字楼+商业，容积率4.8-4.86；OSM面37930㎡≈官方总用地3.5万㎡。户数口径分歧：乐有家1679户（住宅578+公寓1101），深圳房地产信息网「总房源578」只算商品住宅。
2,佳兆业云峰汇,光明区,光明街道,光明大街,6,176.9,33139,混合,未知（2020年11月开盘，交付年份未核实）,699（商品房；另配建保障性住房1.9万㎡）,8（6栋高层住宅+2栋办公）,3房约89㎡为主，住宅建面86.4-124.6㎡,部分,含配建保障性住房（1.9万㎡），非回迁房,确认,备案名「佳兆业云峰汇花园」。开发建设用地约2.9万㎡（OSM 33139㎡），计容13.9万㎡＝商品房6.4万+保障房1.9万+商业办公酒店4.7万，故判为混合而非纯住宅小区。
3,星河天地四期·SPARK星寓,光明区,光明街道,光明大街,6,195.0,30269,混合,未知（星寓为现房；星河天地一~三期2018/2019/2021年入市，一期已交付）,874（SPARK星寓商务公寓）；同名「星河天地四期」另有937套住宅备案,1栋45层（星寓）；星河天地公馆地块共5栋,商务公寓41-70㎡ 1-2房（主力41㎡单房约760套）；四期住宅90-130㎡ 3-4房,否,无,确认,OSM 名把两个不同产品拼在一起：SPARK星寓＝商务公寓（备案名「星河天地公馆」，物业类型商务公寓，9梯23户，874套）；「星河天地四期」＝1/2/3栋937套90-130㎡住宅。星河天地整盘分六期、约80万㎡综合体、未来超7000户。OSM面30269㎡≈公馆地块建设用地2.5万㎡。若只看公寓部分应归「商务公寓」。
4,绿地新都会,光明区,光明街道,光明大街,6,154.1,21089,混合,2016（一期）,口径分歧：692户（本地宝/百科）；深圳房地产信息网备案363套（4栋A、B座362套住宅）,未知（分三期开发）,3-4房 87-141㎡,部分,无,单一来源,备案名「绿地新都会公馆」。整盘总占地约4万㎡、总建面约32万㎡、分三期：一二期住宅，三期以集中商业+高端办公为主，故整体为混合业态。OSM面21089㎡只覆盖部分地块。户数两个口径差一倍，未能核实。
5,龙光玖龙台,光明区,光明街道,凤凰城,13/6,0.0,154762,混合,2017-2021,1783（乐有家「规划户数」，疑仅住宅部分）,10,住宅3房89-105㎡、4房112㎡、5房138㎡；三期公寓42-98㎡（层高4.5米）,部分,无,确认,占地约15万㎡（OSM 154762㎡ 吻合）、总建面约75万㎡的TOD综合体，房屋用途含普通住宅/商业/底商/商业办公类/公寓，三期为商办。一期3栋、二期4栋、三期3栋。容积率口径分歧（都市圈2.32 / 乐有家5.13）。
6,特区建发乐府广场,光明区,光明街道,凤凰城,13/6,13.5,46646,商务公寓,2021（2021年12月毛坯现房）,1414（全部为商务公寓）,6（2栋公寓+2栋办公楼+2块商业群楼）,1-3房 36-97㎡（37㎡单间不通燃气）,否,无,确认,非住宅：住建局备案1414套全部为商务公寓（二期2栋AB座），项目定位为「产业综合体」＝办公研发+商务公寓+5万㎡万达商业。占地约55332㎡、总建面约38.5万㎡（OSM面46646㎡只覆盖部分）。此条应从「住宅性用地」清单中剔除。
7,光明大第,光明区,光明街道,德雅路,13,143.4,66805,住宅小区,2006（分期至2015）,1080,23（9栋高层+80套别墅，口径不一）,3-5房 79-175㎡；另有250-280㎡别墅,部分,无,确认,备案名「金城大第花园」（二期为「觀山88號院」）。链家与深圳都市圈均给23栋；1160车位、容积率低，属光明少见的低密+别墅组合，四房/五房及别墅占相当比例。
8,安居萃云阁,光明区,光明街道,德雅路,13,42.6,10101,安居房人才房,2023（2023年9月完成竣工备案）,324,2（均30层）,2房1厅1卫 / 2房2厅1卫 / 3房2厅1卫,否,整体为保障性租赁住房（保租房），非回迁房,确认,光明区住建局多次以「保障性租赁住房」名义配租。总建面54382.08㎡、404个车位（含128充电桩）。官方描述位置为「观光路与德雅路交会处，紧邻13号线同观路站」，与OSM标注的「德雅路站」口径不同，属同一片区不同站名表述。324套 vs 5.4万㎡总建面偏离较大（总建面含商业/车库），套数以竣备新闻为准。
9,富安花园,光明区,光明街道,虹桥公园,6B,150.4,42862,住宅小区,2004（单一来源，且与25栋/容积率1.3的形态存疑）,未知,25,未知,未知,未知（乐有家把产权性质标为「自建房（集资房）」，疑含原村民/单位集资房）,单一来源,光明街道光明社区华夏路36号（光明医院东北）。深圳都市圈：25栋、400车位、容积率1.3、绿化20%、交易权属商品房；乐有家页面已下架且大部分字段「暂无数据」，仅标产权性质为自建房（集资房）——两者口径冲突，户数/户型均查不到。属老旧多层小区，非商务公寓。
10,电建洺悦鹏著,光明区,光明街道,虹桥公园,6B,0.0,19658,住宅小区,未知（2023-2024年推售，交付年份未核实）,979（含只租不售人才住房；可售614套）,4栋高层住宅（+1栋3层幼儿园+沿街商业）,2-3房 88-108㎡,否,含只租不售人才住房2.9万㎡（配建），非回迁房,确认,备案名「电建洺悦鹏著花园」。占地约2.19万㎡（OSM 19658㎡ 吻合）、总建面约12.63万㎡，住宅建面8.6万㎡中2.9万㎡为只租不售人才住房。另一来源给「612户」，与「可售614套」基本一致，979为含人才房的总房源。
